ID,Cantonese_Text,English_Text,Cantonese_Female_Sound,Cantonese_Male_Sound
lesson_yue_l98_v9,幾可,"hardly likely, rarely",,
lesson_yue_l99_0,我哥哥係廚師，喺茶餐廳做咗十年。,My older brother’s a chef — ten years in a cha chaan teng.,,
lesson_yue_l99_1,個信差話冇人簽收，所以攞返走。,"The courier said nobody signed for it, so he took it back.",,
lesson_yue_l99_10,個街市成朝都係師奶。,The market’s full of housewives all morning.,,
lesson_yue_l99_11,死仔，快啲返嚟食飯。,You little sod — get back here for your dinner.,,
lesson_yue_l99_2,小朋友，過嚟坐低，唔好企喺度。,"Come and sit down, love — don’t stand about there.",,
lesson_yue_l99_3,我個親戚係髮型師，剪得好靚。,A relative of mine is a hairdresser — she cuts really well.,,
lesson_yue_l99_4,差人問咗兩句就走咗。,The coppers asked a couple of questions and left.,,
lesson_yue_l99_5,嗰個團友成日遲到，搞到大家等。,That one on the tour is always late and keeps everyone waiting.,,
lesson_yue_l99_6,街市個雞販話今日冇貨。,The poultry man at the market says there’s none in today.,,
lesson_yue_l99_7,佢係大人喇，唔使你話佢。,He’s a grown man — he doesn’t need telling by you.,,
lesson_yue_l99_8,唔好信啲所謂專家，自己睇清楚。,Don’t trust the so-called experts — look at it yourself.,,
lesson_yue_l99_9,夜晚鎖好門，怕有賊佬。,Lock up properly at night in case of thieves.,,
lesson_yue_l99_v0,主人家,"the owner, whoever’s house it is",,
lesson_yue_l99_v1,信差,"a courier, a messenger",,
lesson_yue_l99_v10,後生仔,a young lad,,
lesson_yue_l99_v11,死仔,you little sod — see the note,,
lesson_yue_l99_v12,細路仔,"a kid, a little boy",,
lesson_yue_l99_v13,老人家,an old person — respectful,,
lesson_yue_l99_v14,親戚,a relative,,
lesson_yue_l99_v15,賊佬,a thief,,
lesson_yue_l99_v16,雞販,a poultry seller,,
lesson_yue_l99_v17,髮型師,a hairdresser,,
lesson_yue_l99_v2,哥哥,older brother,,
lesson_yue_l99_v3,團友,someone on the same tour,,
lesson_yue_l99_v4,大人,a grown-up,,
lesson_yue_l99_v5,專家,an expert,,
lesson_yue_l99_v6,小朋友,a child — how you address one,,
lesson_yue_l99_v7,差人,"a copper — ordinary, not rude",,
lesson_yue_l99_v8,師奶,a housewife — see the note,,
lesson_yue_l99_v9,廚師,a chef,,
pack_yp90_0,得，我遲啲買。,Sure — I’ll buy them later.,,
pack_yp90_1,等陣，我而家手上有嘢。,Hold on — I’ve got my hands full right now.,,
pack_yp90_2,晏啲我落去攞。,I’ll go down and get it later today.,,
pack_yp90_3,遲下唔得閒，不如而家做。,I’ll be tied up later on — might as well do it now.,,
pack_yp90_4,我轉頭覆你。,I’ll get back to you shortly.,,
pack_yp90_5,唔係遲啲，係聽日。,Not “later” — tomorrow.,,
pack_yp90_6,出咗糧我就買。,I’ll buy it once we’ve been paid.,,
word_yue_晏啲,晏啲,"later today (晏 is aan3, never ngaan3)",,
word_yue_等陣,等陣,"hold on — in a minute, in this conversation",,
word_yue_遲下,遲下,later on — vaguer than 遲啲,,
